user_input,reference
What is Oppenheimer (film) about?,"Oppenheimer is a 2023 biographical drama film that chronicles the life of American theoretical physicist and polymath J. Robert Oppenheimer, focusing on his early studies, his direction of the Manhattan Project, and his eventual fall from grace."
Who wrote and directed the film Oppenheimer?,The film Oppenheimer was written and directed by Christopher Nolan.
What book is the film Oppenheimer based on and who wrote it?,The film Oppenheimer is based on the 2005 biography American Prometheus by Kai Bird and Martin J. Sherwin.
What are some key actors in the film Oppenheimer and who do they play?,Key actors include Cillian Murphy as Oppenheimer and Robert Downey Jr. as Strauss.
When was Oppenheimer theatrically released in the United States and United Kingdom?,"Oppenheimer was theatrically released in the United States and United Kingdom on July 21, 2023."
Who directed the film Barbie?,Barbie was directed by Greta Gerwig.
Who wrote the screenplay for Barbie?,Greta Gerwig and Noah Baumbach wrote the screenplay for Barbie.
Who plays the main characters Barbie and Ken in the film?,Margot Robbie stars as the titular character Barbie and Ryan Gosling stars as Ken.
When did Barbie premiere and when was it theatrically released in the US?,"Barbie premiered at the Shrine Auditorium in Los Angeles on July 9, 2023, and was released in the United States on July 21, 2023."
What cultural phenomenon occurred due to Barbie's simultaneous release with Oppenheimer?,"Its simultaneous release with Universal's Oppenheimer led to the \""Barbenheimer\"" cultural phenomenon."
